Descripcion,IdCategoria
Doctors,0
 Traditional Chinese Medicine,1
 Naturopathic/Holistic,2
 Acupuncture,3
 Health & Medical,4
 Nutritionists,5
Restaurants,6
 Food,7
 Bubble Tea,8
 Coffee & Tea,9
 Bakeries,10
Brewpubs,11
 Breweries,12
Synagogues,13
 Religious Organizations,14
Department Stores,15
 Shopping,16
 Fashion,17
Vietnamese,18
 Restaurants,19
 Food Trucks,20
General Dentistry,21
 Dentists,22
 Cosmetic Dentists,23
Food,24
 Delis,25
 Italian,26
Sushi Bars,27
 Japanese,28
Korean,29
Pet Services,30
 Pet Groomers,31
 Pets,32
 Veterinarians,33
Women's Clothing,34
 Accessories,35
 Children's Clothing,36
 Men's Clothing,37
 Adult,38
Cocktail Bars,39
 Bars,40
 Nightlife,41
Pizza,42
 Salad,43
 Soup,44
Dance Wear,45
 Sports Wear,46
 Arts & Entertainment,47
 Social Clubs,48
 Performing Arts,49
 Sporting Goods,50
 Shoe Stores,51
Eatertainment,52
 Brewpubs,53
 American (Traditional),54
 Burgers,55
Musicians,56
 DJs,57
 Karaoke,58
 Event Planning & Services,59
Health & Medical,60
 Beauty & Spas,61
 Laser Hair Removal,62
 Doctors,63
 Hair Removal,64
 Chiropractors,65
 Weight Loss Centers,66
 Sports Medicine,67
 Medical Spas,68
 Skin Care,69
Fashion,70
 Department Stores,71
 Furniture Stores,72
 Candle Stores,73
 Home & Garden,74
 Home Decor,75
Active Life,76
 Fitness & Instruction,77
 Trainers,78
 Gyms,79
 Yoga,80
 Grocery,81
 Convenience Stores,82
Hotels,83
 Hotels & Travel,84
Ophthalmologists,85
 Eyewear & Opticians,86
 Optometrists,87
 American (New),88
 Pizza,89
Uniforms,90
Seafood,91
 Cocktail Bars,92
 Pubs,93
Food Trucks,94
 Personal Care Services,95
 Massage,96
 Nail Salons,97
American (Traditional),98
 Sports Bars,99
 Steakhouses,100
 Beer Bar,101
Burgers,102
 Lounges,103
 Wraps,104
 Automotive,105
 Gas Stations,106
 Sandwiches,107
Keys & Locksmiths,108
 Home Services,109
 Local Services,110
 Breakfast & Brunch,111
Towing,112
 Body Shops,113
Masonry/Concrete,114
 Gardeners,115
 Lawn Services,116
 Tree Services,117
 Landscape Architects,118
 Contractors,119
 Landscaping,120
Sporting Goods,121
 Fast Food,122
Fitness & Instruction,123
 Physical Therapy,124
 Active Life,125
 French,126
 Moroccan,127
 Seafood,128
 Mediterranean,129
Flooring,130
 Handyman,131
Pest Control,132
Shopping,133
 Auction Houses,134
Grocery,135
 Drugstores,136
 Discount Store,137
 Electronics,138
Eyewear & Opticians,139
Public Services & Government,140
 Libraries,141
Parenting Classes,142
 Maternity Wear,143
 Education,144
 Specialty Schools,145
 Laundry Services,146
 Child Care & Day Care,147
 Baby Gear & Furniture,148
Barbers,149
Medical Centers,150
 Diagnostic Services,151
 Orthopedists,152
 Spine Surgeons,153
 Diagnostic Imaging,154
 Chinese,155
Car Wash,156
 Auto Detailing,157
Auto Repair,158
 Tires,159
 Oil Change Stations,160
Desserts,161
 Do-It-Yourself Food,162
 Patisserie/Cake Shop,163
Live/Raw Food,164
 Beer,165
 Wine & Spirits,166
Real Estate,167
 Real Estate Agents,168
Buses,169
 Transportation,170
 Bus Tours,171
 Travel Agents,172
 Travel Services,173
 Airport Shuttles,174
 Tours,175
 Public Transportation,176
 Filipino,177
 Internal Medicine,178
 Desserts,179
 Sushi Bars,180
Mexican,181
Banks & Credit Unions,182
 Financial Services,183
Body Shops,184
Art Classes,185
 Arts & Crafts,186
 Appliances & Repair,187
 Knitting Supplies,188
 Art Supplies,189
 Basketball Courts,190
 Stadiums & Arenas,191
 Professional Sports Teams,192
Beauty & Spas,193
 Tattoo,194
Oil Change Stations,195
 Auto Repair,196
Weight Loss Centers,197
 Life Coach,198
 Meditation Centers,199
 Professional Services,200
Home Cleaning,201
 Office Cleaning,202
 Window Washing,203
 Hair Stylists,204
 Hair Extensions,205
 Hair Salons,206
 Ice Cream & Frozen Yogurt,207
 Shaved Ice,208
Home & Garden,209
 Appliances,210
 Barbeque,211
Japanese,212
Fast Food,213
 Chicken Shop,214
Wildlife Control,215
 Pest Control,216
Home Services,217
 Vacation Rentals,218
 Real Estate,219
 Condominiums,220
